sample_id,sample_date,chemical,chem_conc,rolling_avg
Q1,1987-04-21,nh4_n,7,NA
Q1,1987-04-21,no3_n,140,NA
Q1,1987-04-28,k,0.83,NA
Q1,1987-04-28,mg,2.92,NA
Q1,1987-04-28,ca,4.38,NA
Q1,1987-04-28,nh4_n,9,NA
Q1,1987-04-28,no3_n,138,NA
Q1,1987-05-05,k,0.84,NA
Q1,1987-05-05,mg,2.93,NA
Q1,1987-05-05,ca,4.26,NA
Q1,1987-05-05,nh4_n,9,NA
Q1,1987-05-05,no3_n,130,NA
Q1,1987-05-12,k,0.89,NA
Q1,1987-05-12,mg,2.09,NA
Q1,1987-05-12,ca,3.34,NA
Q1,1987-05-12,nh4_n,104,NA
Q1,1987-05-12,no3_n,124,NA
Q1,1987-05-19,k,0.79,NA
Q1,1987-05-19,mg,1.68,NA
Q1,1987-05-19,ca,1.92,NA
Q1,1987-05-19,nh4_n,115,NA
Q1,1987-05-19,no3_n,178,NA
Q1,1987-05-26,k,0.89,NA
Q1,1987-05-26,mg,2.38,NA
Q1,1987-05-26,ca,3.73,NA
Q1,1987-05-26,nh4_n,92,NA
Q1,1987-05-26,no3_n,158,NA
Q1,1987-06-02,k,0.76,NA
Q1,1987-06-02,mg,2.56,NA
Q1,1987-06-02,ca,3.92,NA
Q1,1987-06-02,nh4_n,85,NA
Q1,1987-06-02,no3_n,140,NA
Q1,1987-06-09,k,0.79,NA
Q1,1987-06-09,mg,2.59,NA
Q1,1987-06-09,ca,4.04,NA
Q1,1987-06-09,nh4_n,108,NA
Q1,1987-06-09,no3_n,146,NA
Q1,1987-06-16,k,0.8,NA
Q1,1987-06-16,mg,2.49,NA
Q1,1987-06-16,ca,3.7,NA
Q1,1987-06-16,nh4_n,90,NA
Q1,1987-06-16,no3_n,160,NA
Q1,1987-06-23,k,0.79,55.92385185185185
Q1,1987-06-23,mg,2.11,55.92385185185185
Q1,1987-06-23,ca,3.97,55.92385185185185
Q1,1987-06-23,nh4_n,76,55.92385185185185
Q1,1987-06-23,no3_n,190,55.92385185185185
Q1,1987-06-30,k,0.86,54.20933333333333
Q1,1987-06-30,mg,2.55,54.20933333333333
Q1,1987-06-30,ca,3.57,54.20933333333333
Q1,1987-06-30,nh4_n,97,54.20933333333333
