sample_id,sample_date,chemical,chem_conc
Q1,1988-05-10,ca,NA
Q1,1988-05-10,nh4_n,NA
Q1,1988-05-10,no3_n,NA
Q1,1988-05-10,k,NA
Q1,1988-05-10,mg,NA
Q1,1988-05-10,ca,NA
Q1,1988-05-10,nh4_n,NA
Q1,1988-05-10,no3_n,NA
Q1,1988-05-10,k,1.2
Q1,1988-05-10,mg,1.44
Q1,1988-05-10,ca,2.58
Q1,1988-05-10,nh4_n,10
Q1,1988-05-10,no3_n,203
Q1,1988-05-17,k,NA
Q1,1988-05-17,mg,1.12
Q1,1988-05-17,ca,1.12
Q1,1988-05-17,nh4_n,237
Q1,1988-05-17,no3_n,148
Q1,1988-05-24,k,0.75
Q1,1988-05-24,mg,1.2
Q1,1988-05-24,ca,1.34
Q1,1988-05-24,nh4_n,63
Q1,1988-05-24,no3_n,149
Q1,1988-05-31,k,0.9
Q1,1988-05-31,mg,2.57
Q1,1988-05-31,ca,3.16
Q1,1988-05-31,nh4_n,61
Q1,1988-05-31,no3_n,156
Q1,1988-06-07,k,0.8
Q1,1988-06-07,mg,2.91
Q1,1988-06-07,ca,3.58
Q1,1988-06-07,nh4_n,59
Q1,1988-06-07,no3_n,147
Q1,1988-06-14,k,0.79
Q1,1988-06-14,mg,2.85
Q1,1988-06-14,ca,3.53
Q1,1988-06-14,nh4_n,68
Q1,1988-06-14,no3_n,NA
Q1,1988-06-21,k,0.81
Q1,1988-06-21,mg,1.95
Q1,1988-06-21,ca,2.66
Q1,1988-06-21,nh4_n,158
Q1,1988-06-21,no3_n,NA
Q1,1988-06-28,k,0.71
Q1,1988-06-28,mg,2.71
Q1,1988-06-28,ca,4.87
Q1,1988-06-28,nh4_n,NA
Q1,1988-06-28,no3_n,NA
Q1,1988-07-05,k,0.78
Q1,1988-07-05,mg,2.84
Q1,1988-07-05,ca,3.41
Q1,1988-07-05,nh4_n,NA
Q1,1988-07-05,no3_n,NA
Q1,1988-07-12,k,NA
Q1,1988-07-12,mg,0.54
Q1,1988-07-12,ca,NA
Q1,1988-07-12,nh4_n,NA
Q1,1988-07-12,no3_n,NA
Q1,1988-07-19,k,0.73
Q1,1988-07-19,mg,1.84
Q1,1988-07-19,ca,2.54
Q1,1988-07-19,nh4_n,NA
Q1,1988-07-19,no3_n,NA
Q1,1988-07-22,k,0.82
Q1,1988-07-22,mg,2.47
Q1,1988-07-22,ca,3.2
Q1,1988-07-22,nh4_n,NA
Q1,1988-07-22,no3_n,NA
Q1,1988-07-26,k,NA
Q1,1988-07-26,mg,NA
Q1,1988-07-26,ca,NA
Q1,1988-07-26,nh4_n,NA
Q1,1988-07-26,no3_n,NA
Q1,1988-07-26,k,0.71
Q1,1988-07-26,mg,1.65
Q1,1988-07-26,ca,2.43
Q1,1988-07-26,nh4_n,NA
Q1,1988-07-26,no3_n,NA
Q1,1988-08-02,k,0.73
Q1,1988-08-02,mg,2.9
Q1,1988-08-02,ca,3.48
Q1,1988-08-02,nh4_n,NA
Q1,1988-08-02,no3_n,NA
Q1,1988-08-09,k,0.81
Q1,1988-08-09,mg,2.92
Q1,1988-08-09,ca,3.56
Q1,1988-08-09,nh4_n,NA
Q1,1988-08-09,no3_n,NA
Q1,1988-08-16,k,0.84
Q1,1988-08-16,mg,2.85
Q1,1988-08-16,ca,3.49
Q1,1988-08-16,nh4_n,16
Q1,1988-08-16,no3_n,NA
Q1,1988-08-23,k,0.87
Q1,1988-08-23,mg,2.71
Q1,1988-08-23,ca,3.95
Q1,1988-08-23,nh4_n,NA
Q1,1988-08-23,no3_n,135
Q1,1988-08-24,k,0.76
Q1,1988-08-24,mg,0.86
Q1,1988-08-24,ca,1.23
Q1,1988-08-24,nh4_n,NA
Q1,1988-08-24,no3_n,8
Q1,1988-08-24,k,NA
Q1,1988-08-24,mg,NA
Q1,1988-08-24,ca,NA
Q1,1988-08-24,nh4_n,NA
Q1,1988-08-24,no3_n,7
Q1,1988-08-24,k,0.77
Q1,1988-08-24,mg,NA
Q1,1988-08-24,ca,1.79
Q1,1988-08-24,nh4_n,NA
Q1,1988-08-24,no3_n,NA
Q1,1988-08-24,k,0.48
Q1,1988-08-24,mg,0.47
Q1,1988-08-24,ca,0.75
Q1,1988-08-24,nh4_n,NA
Q1,1988-08-24,no3_n,11
Q1,1988-08-24,k,0.9
Q1,1988-08-24,mg,0.79
Q1,1988-08-24,ca,1.32
Q1,1988-08-24,nh4_n,NA
Q1,1988-08-24,no3_n,10
Q1,1988-08-30,k,0.78
Q1,1988-08-30,mg,2.62
Q1,1988-08-30,ca,3.29
Q1,1988-08-30,nh4_n,NA
Q1,1988-08-30,no3_n,150
Q1,1988-09-06,k,0.69
Q1,1988-09-06,mg,2.76
Q1,1988-09-06,ca,3.9
Q1,1988-09-06,nh4_n,15
Q1,1988-09-06,no3_n,120
Q1,1988-09-13,k,0.79
Q1,1988-09-13,mg,1.53
Q1,1988-09-13,ca,0.7
Q1,1988-09-13,nh4_n,NA
Q1,1988-09-13,no3_n,192
Q1,1988-09-20,k,0.75
Q1,1988-09-20,mg,2.64
Q1,1988-09-20,ca,3.75
Q1,1988-09-20,nh4_n,47
Q1,1988-09-20,no3_n,150
Q1,1988-09-27,k,0.71
Q1,1988-09-27,mg,2.66
Q1,1988-09-27,ca,4.21
Q1,1988-09-27,nh4_n,NA
Q1,1988-09-27,no3_n,149
