sample_id,sample_date,chemical,chem_conc
Q1,1990-04-24,no3_n,53
Q1,1990-04-25,k,1.71
Q1,1990-04-25,mg,0.49
Q1,1990-04-25,ca,0.66
Q1,1990-04-25,nh4_n,NA
Q1,1990-04-25,no3_n,999
Q1,1990-04-25,k,2.1
Q1,1990-04-25,mg,0.65
Q1,1990-04-25,ca,0.88
Q1,1990-04-25,nh4_n,NA
Q1,1990-04-25,no3_n,1468
Q1,1990-04-25,k,2.3
Q1,1990-04-25,mg,0.59
Q1,1990-04-25,ca,0.83
Q1,1990-04-25,nh4_n,NA
Q1,1990-04-25,no3_n,1413
Q1,1990-04-26,k,1.49
Q1,1990-04-26,mg,2.72
Q1,1990-04-26,ca,4.23
Q1,1990-04-26,nh4_n,NA
Q1,1990-04-26,no3_n,243
Q1,1990-05-01,k,1.09
Q1,1990-05-01,mg,3.38
Q1,1990-05-01,ca,5.97
Q1,1990-05-01,nh4_n,NA
Q1,1990-05-01,no3_n,193
Q1,1990-05-08,k,1.15
Q1,1990-05-08,mg,3.24
Q1,1990-05-08,ca,5.48
Q1,1990-05-08,nh4_n,NA
Q1,1990-05-08,no3_n,189
Q1,1990-05-10,k,1.83
Q1,1990-05-10,mg,1.53
Q1,1990-05-10,ca,2.51
Q1,1990-05-10,nh4_n,NA
Q1,1990-05-10,no3_n,737
Q1,1990-05-15,k,1.14
Q1,1990-05-15,mg,3.15
Q1,1990-05-15,ca,5.42
Q1,1990-05-15,nh4_n,NA
Q1,1990-05-15,no3_n,204
Q1,1990-05-22,k,1.14
Q1,1990-05-22,mg,3.36
Q1,1990-05-22,ca,5.84
Q1,1990-05-22,nh4_n,NA
Q1,1990-05-22,no3_n,163
Q1,1990-05-29,k,1.24
Q1,1990-05-29,mg,3.29
Q1,1990-05-29,ca,5.4
Q1,1990-05-29,nh4_n,NA
Q1,1990-05-29,no3_n,142
Q1,1990-06-05,k,1.16
Q1,1990-06-05,mg,3.08
Q1,1990-06-05,ca,5.25
Q1,1990-06-05,nh4_n,NA
Q1,1990-06-05,no3_n,10
Q1,1990-06-12,k,1.19
Q1,1990-06-12,mg,3.21
Q1,1990-06-12,ca,5.75
Q1,1990-06-12,nh4_n,NA
Q1,1990-06-12,no3_n,154
Q1,1990-06-19,k,1.24
Q1,1990-06-19,mg,3.44
Q1,1990-06-19,ca,5.56
Q1,1990-06-19,nh4_n,NA
Q1,1990-06-19,no3_n,170
Q1,1990-06-26,k,1.29
Q1,1990-06-26,mg,3.09
Q1,1990-06-26,ca,5.07
Q1,1990-06-26,nh4_n,NA
Q1,1990-06-26,no3_n,203
Q1,1990-07-03,k,1
Q1,1990-07-03,mg,3.71
Q1,1990-07-03,ca,6.39
Q1,1990-07-03,nh4_n,NA
Q1,1990-07-03,no3_n,109
Q1,1990-07-10,k,1.03
Q1,1990-07-10,mg,3.49
Q1,1990-07-10,ca,5.94
Q1,1990-07-10,nh4_n,NA
Q1,1990-07-10,no3_n,119
Q1,1990-07-17,k,0.93
Q1,1990-07-17,mg,3.54
Q1,1990-07-17,ca,6.18
Q1,1990-07-17,nh4_n,NA
Q1,1990-07-17,no3_n,77
Q1,1990-07-24,k,1.7
Q1,1990-07-24,mg,1.92
Q1,1990-07-24,ca,3.13
Q1,1990-07-24,nh4_n,NA
Q1,1990-07-24,no3_n,445
Q1,1990-07-31,k,0.86
Q1,1990-07-31,mg,3.62
Q1,1990-07-31,ca,6.18
Q1,1990-07-31,nh4_n,NA
Q1,1990-07-31,no3_n,7
Q1,1990-08-07,k,0.89
Q1,1990-08-07,mg,3.65
Q1,1990-08-07,ca,6.38
Q1,1990-08-07,nh4_n,NA
Q1,1990-08-07,no3_n,49
Q1,1990-08-14,k,1.29
Q1,1990-08-14,mg,2.96
Q1,1990-08-14,ca,4.75
Q1,1990-08-14,nh4_n,NA
Q1,1990-08-14,no3_n,250
Q1,1990-08-21,k,0.86
Q1,1990-08-21,mg,3.44
Q1,1990-08-21,ca,6.13
Q1,1990-08-21,nh4_n,NA
Q1,1990-08-21,no3_n,90
Q1,1990-08-28,k,0.78
Q1,1990-08-28,mg,3.51
Q1,1990-08-28,ca,6.04
Q1,1990-08-28,nh4_n,NA
Q1,1990-08-28,no3_n,10
Q1,1990-09-04,k,0.78
Q1,1990-09-04,mg,3.15
Q1,1990-09-04,ca,6.06
Q1,1990-09-04,nh4_n,NA
Q1,1990-09-04,no3_n,10
Q1,1990-09-11,k,0.76
Q1,1990-09-11,mg,3.47
Q1,1990-09-11,ca,6.13
Q1,1990-09-11,nh4_n,NA
Q1,1990-09-11,no3_n,NA
Q1,1990-09-18,k,0.79
Q1,1990-09-18,mg,3.36
Q1,1990-09-18,ca,5.88
Q1,1990-09-18,nh4_n,NA
Q1,1990-09-18,no3_n,NA
Q1,1990-09-25,k,0.81
Q1,1990-09-25,mg,3.33
Q1,1990-09-25,ca,6.21
Q1,1990-09-25,nh4_n,NA
Q1,1990-09-25,no3_n,NA
Q1,1990-10-02,k,1
Q1,1990-10-02,mg,2.55
Q1,1990-10-02,ca,4.99
Q1,1990-10-02,nh4_n,NA
Q1,1990-10-02,no3_n,76
Q1,1990-10-09,k,0.98
Q1,1990-10-09,mg,3.08
Q1,1990-10-09,ca,5.65
Q1,1990-10-09,nh4_n,NA
Q1,1990-10-09,no3_n,48
Q1,1990-10-16,k,0.87
Q1,1990-10-16,mg,3.49
Q1,1990-10-16,ca,5.55
Q1,1990-10-16,nh4_n,NA
Q1,1990-10-16,no3_n,9
Q1,1990-10-23,k,0.95
Q1,1990-10-23,mg,3.16
Q1,1990-10-23,ca,5.19
Q1,1990-10-23,nh4_n,NA
Q1,1990-10-23,no3_n,67
Q1,1990-10-30,k,1.19
Q1,1990-10-30,mg,1.6
Q1,1990-10-30,ca,2.64
Q1,1990-10-30,nh4_n,NA
Q1,1990-10-30,no3_n,130
Q1,1990-11-06,k,1.04
Q1,1990-11-06,mg,2.94
Q1,1990-11-06,ca,4.63
Q1,1990-11-06,nh4_n,NA
Q1,1990-11-06,no3_n,257
Q1,1990-11-13,k,0.97
Q1,1990-11-13,mg,3.27
Q1,1990-11-13,ca,5.05
Q1,1990-11-13,nh4_n,NA
Q1,1990-11-13,no3_n,113
Q1,1990-11-20,k,0.85
Q1,1990-11-20,mg,3.32
Q1,1990-11-20,ca,5.03
Q1,1990-11-20,nh4_n,NA
Q1,1990-11-20,no3_n,75
Q1,1990-11-27,k,0.95
Q1,1990-11-27,mg,3
Q1,1990-11-27,ca,4.7
Q1,1990-11-27,nh4_n,NA
Q1,1990-11-27,no3_n,142
Q1,1990-12-04,k,1.31
Q1,1990-12-04,mg,1.57
Q1,1990-12-04,ca,2.65
Q1,1990-12-04,nh4_n,NA
Q1,1990-12-04,no3_n,236
Q1,1990-12-04,k,0.96
Q1,1990-12-04,mg,2.89
Q1,1990-12-04,ca,4.94
Q1,1990-12-04,nh4_n,NA
Q1,1990-12-04,no3_n,8
Q1,1990-12-11,k,0.78
Q1,1990-12-11,mg,3.25
Q1,1990-12-11,ca,5.69
Q1,1990-12-11,nh4_n,NA
Q1,1990-12-11,no3_n,7
Q1,1990-12-14,k,2.14
Q1,1990-12-14,mg,1.65
Q1,1990-12-14,ca,2.87
Q1,1990-12-14,nh4_n,NA
Q1,1990-12-14,no3_n,300
Q1,1990-12-18,k,0.69
Q1,1990-12-18,mg,3.24
Q1,1990-12-18,ca,5.64
Q1,1990-12-18,nh4_n,NA
Q1,1990-12-18,no3_n,87
Q1,1990-12-25,k,0.86
Q1,1990-12-25,mg,3.25
Q1,1990-12-25,ca,5.65
Q1,1990-12-25,nh4_n,NA
Q1,1990-12-25,no3_n,121
Q1,1990-12-31,k,1.23
Q1,1990-12-31,mg,2.37
Q1,1990-12-31,ca,3.96
Q1,1990-12-31,nh4_n,NA
Q1,1990-12-31,no3_n,233
Q1,1991-01-08,k,1.07
Q1,1991-01-08,mg,2.8
Q1,1991-01-08,ca,4.89
Q1,1991-01-08,nh4_n,NA
Q1,1991-01-08,no3_n,131
Q1,1991-01-15,k,0.79
Q1,1991-01-15,mg,3.65
Q1,1991-01-15,ca,6.78
Q1,1991-01-15,nh4_n,NA
Q1,1991-01-15,no3_n,NA
Q1,1991-01-22,k,0.67
Q1,1991-01-22,mg,3.36
Q1,1991-01-22,ca,5.91
Q1,1991-01-22,nh4_n,NA
Q1,1991-01-22,no3_n,176
Q1,1991-01-29,k,0.77
Q1,1991-01-29,mg,3.3
Q1,1991-01-29,ca,6.18
Q1,1991-01-29,nh4_n,NA
Q1,1991-01-29,no3_n,188
Q1,1991-02-05,k,0.83
Q1,1991-02-05,mg,3.01
Q1,1991-02-05,ca,5.4
Q1,1991-02-05,nh4_n,NA
Q1,1991-02-05,no3_n,NA
Q1,1991-02-12,k,0.8
Q1,1991-02-12,mg,3.57
Q1,1991-02-12,ca,6.39
Q1,1991-02-12,nh4_n,NA
Q1,1991-02-12,no3_n,28
Q1,1991-02-19,k,1.12
Q1,1991-02-19,mg,2.41
Q1,1991-02-19,ca,4.27
Q1,1991-02-19,nh4_n,NA
Q1,1991-02-19,no3_n,13
Q1,1991-02-26,k,0.86
Q1,1991-02-26,mg,3.36
Q1,1991-02-26,ca,5.37
Q1,1991-02-26,nh4_n,NA
Q1,1991-02-26,no3_n,89
Q1,1991-03-05,k,0.7
Q1,1991-03-05,mg,3.25
Q1,1991-03-05,ca,5.96
Q1,1991-03-05,nh4_n,NA
Q1,1991-03-05,no3_n,74
Q1,1991-03-12,k,0.79
Q1,1991-03-12,mg,3.1
Q1,1991-03-12,ca,5.8
Q1,1991-03-12,nh4_n,NA
Q1,1991-03-12,no3_n,47
Q1,1991-03-19,k,0.81
Q1,1991-03-19,mg,3.25
Q1,1991-03-19,ca,6.1
Q1,1991-03-19,nh4_n,NA
Q1,1991-03-19,no3_n,158
Q1,1991-03-22,k,NA
Q1,1991-03-22,mg,NA
Q1,1991-03-22,ca,NA
Q1,1991-03-22,nh4_n,NA
Q1,1991-03-22,no3_n,NA
Q1,1991-03-26,k,0.71
Q1,1991-03-26,mg,3.1
Q1,1991-03-26,ca,5.84
Q1,1991-03-26,nh4_n,NA
Q1,1991-03-26,no3_n,113
Q1,1991-04-02,k,0.75
Q1,1991-04-02,mg,3.27
Q1,1991-04-02,ca,5.99
Q1,1991-04-02,nh4_n,NA
Q1,1991-04-02,no3_n,78
Q1,1991-04-09,k,0.77
Q1,1991-04-09,mg,3.13
Q1,1991-04-09,ca,5.59
Q1,1991-04-09,nh4_n,NA
Q1,1991-04-09,no3_n,36
Q1,1991-04-15,k,0.9
Q1,1991-04-15,mg,3.01
Q1,1991-04-15,ca,5.25
Q1,1991-04-15,nh4_n,NA
Q1,1991-04-15,no3_n,23
Q1,1991-04-23,k,0.93
Q1,1991-04-23,mg,3.14
Q1,1991-04-23,ca,5.51
Q1,1991-04-23,nh4_n,NA
Q1,1991-04-23,no3_n,19
Q1,1991-04-30,k,0.78
Q1,1991-04-30,mg,1.92
Q1,1991-04-30,ca,3.13
Q1,1991-04-30,nh4_n,NA
Q1,1991-04-30,no3_n,31
Q1,1991-05-07,k,0.89
Q1,1991-05-07,mg,3
Q1,1991-05-07,ca,5.62
Q1,1991-05-07,nh4_n,NA
Q1,1991-05-07,no3_n,70
Q1,1991-05-14,k,0.96
Q1,1991-05-14,mg,3.01
Q1,1991-05-14,ca,5.76
Q1,1991-05-14,nh4_n,NA
Q1,1991-05-14,no3_n,10
Q1,1991-05-21,k,0.89
Q1,1991-05-21,mg,3.09
Q1,1991-05-21,ca,5.4
Q1,1991-05-21,nh4_n,NA
Q1,1991-05-21,no3_n,10
Q1,1991-05-28,k,0.89
Q1,1991-05-28,mg,3.11
Q1,1991-05-28,ca,5.26
Q1,1991-05-28,nh4_n,NA
Q1,1991-05-28,no3_n,22
Q1,1991-05-31,k,0.92
Q1,1991-05-31,mg,3.06
Q1,1991-05-31,ca,5.21
Q1,1991-05-31,nh4_n,NA
Q1,1991-05-31,no3_n,NA
Q1,1991-06-01,k,NA
Q1,1991-06-01,mg,NA
Q1,1991-06-01,ca,NA
Q1,1991-06-01,nh4_n,NA
Q1,1991-06-01,no3_n,NA
Q1,1991-06-04,k,0.92
Q1,1991-06-04,mg,3.06
Q1,1991-06-04,ca,5.26
Q1,1991-06-04,nh4_n,NA
Q1,1991-06-04,no3_n,136
Q1,1991-06-11,k,1.15
Q1,1991-06-11,mg,3.14
Q1,1991-06-11,ca,5.36
Q1,1991-06-11,nh4_n,NA
Q1,1991-06-11,no3_n,73
Q1,1991-06-18,k,0.87
Q1,1991-06-18,mg,3.01
Q1,1991-06-18,ca,5.36
Q1,1991-06-18,nh4_n,NA
Q1,1991-06-18,no3_n,55
Q1,1991-06-25,k,0.92
Q1,1991-06-25,mg,3.08
Q1,1991-06-25,ca,5.14
Q1,1991-06-25,nh4_n,NA
Q1,1991-06-25,no3_n,NA
Q1,1991-07-02,k,1.17
Q1,1991-07-02,mg,3.09
Q1,1991-07-02,ca,5.01
Q1,1991-07-02,nh4_n,NA
Q1,1991-07-02,no3_n,63
Q1,1991-07-09,k,0.89
Q1,1991-07-09,mg,2.82
Q1,1991-07-09,ca,5.28
Q1,1991-07-09,nh4_n,NA
Q1,1991-07-09,no3_n,69
Q1,1991-07-16,k,0.52
Q1,1991-07-16,mg,3.17
Q1,1991-07-16,ca,5.86
Q1,1991-07-16,nh4_n,NA
Q1,1991-07-16,no3_n,10
Q1,1991-07-23,k,0.25
Q1,1991-07-23,mg,3.42
Q1,1991-07-23,ca,5.89
Q1,1991-07-23,nh4_n,NA
Q1,1991-07-23,no3_n,10
Q1,1991-07-30,k,0.69
Q1,1991-07-30,mg,3.32
Q1,1991-07-30,ca,5.86
Q1,1991-07-30,nh4_n,NA
Q1,1991-07-30,no3_n,10
Q1,1991-08-06,k,0.83
Q1,1991-08-06,mg,4.17
Q1,1991-08-06,ca,6.07
Q1,1991-08-06,nh4_n,NA
Q1,1991-08-06,no3_n,10
Q1,1991-08-13,k,0.74
Q1,1991-08-13,mg,4.32
Q1,1991-08-13,ca,6.13
Q1,1991-08-13,nh4_n,NA
Q1,1991-08-13,no3_n,NA
Q1,1991-08-20,k,0.79
Q1,1991-08-20,mg,4.3
Q1,1991-08-20,ca,7.07
Q1,1991-08-20,nh4_n,NA
Q1,1991-08-20,no3_n,17
Q1,1991-08-27,k,0.92
Q1,1991-08-27,mg,3.25
Q1,1991-08-27,ca,5.41
Q1,1991-08-27,nh4_n,NA
Q1,1991-08-27,no3_n,15
Q1,1991-08-27,k,1.42
Q1,1991-08-27,mg,1.7
Q1,1991-08-27,ca,2.86
Q1,1991-08-27,nh4_n,NA
Q1,1991-08-27,no3_n,130
Q1,1991-09-03,k,0.95
Q1,1991-09-03,mg,3.36
Q1,1991-09-03,ca,5.27
Q1,1991-09-03,nh4_n,NA
Q1,1991-09-03,no3_n,69
Q1,1991-09-10,k,2.56
Q1,1991-09-10,mg,7
Q1,1991-09-10,ca,12.1
Q1,1991-09-10,nh4_n,NA
Q1,1991-09-10,no3_n,75
Q1,1991-09-17,k,0.97
Q1,1991-09-17,mg,3.17
Q1,1991-09-17,ca,4.98
Q1,1991-09-17,nh4_n,NA
Q1,1991-09-17,no3_n,31
Q1,1991-09-24,k,0.99
Q1,1991-09-24,mg,3.4
Q1,1991-09-24,ca,5.6
Q1,1991-09-24,nh4_n,NA
Q1,1991-09-24,no3_n,65
Q1,1991-10-01,k,0.97
Q1,1991-10-01,mg,3.24
Q1,1991-10-01,ca,4.87
Q1,1991-10-01,nh4_n,NA
Q1,1991-10-01,no3_n,83
Q1,1991-10-08,k,1.11
Q1,1991-10-08,mg,3.45
Q1,1991-10-08,ca,5.15
Q1,1991-10-08,nh4_n,NA
Q1,1991-10-08,no3_n,69
Q1,1991-10-15,k,0.97
Q1,1991-10-15,mg,3.27
Q1,1991-10-15,ca,5.09
Q1,1991-10-15,nh4_n,NA
Q1,1991-10-15,no3_n,81
Q1,1991-10-22,k,0.79
Q1,1991-10-22,mg,3.71
Q1,1991-10-22,ca,5.22
Q1,1991-10-22,nh4_n,NA
Q1,1991-10-22,no3_n,74
Q1,1991-10-29,k,0.73
Q1,1991-10-29,mg,3.51
Q1,1991-10-29,ca,4.8
Q1,1991-10-29,nh4_n,NA
Q1,1991-10-29,no3_n,54
Q1,1991-11-05,k,1.15
Q1,1991-11-05,mg,2.57
Q1,1991-11-05,ca,4.88
Q1,1991-11-05,nh4_n,NA
Q1,1991-11-05,no3_n,100
Q1,1991-11-07,k,1.77
Q1,1991-11-07,mg,1.19
Q1,1991-11-07,ca,1.55
Q1,1991-11-07,nh4_n,NA
Q1,1991-11-07,no3_n,44
Q1,1991-11-08,k,1.2
Q1,1991-11-08,mg,1.49
Q1,1991-11-08,ca,2.17
Q1,1991-11-08,nh4_n,NA
Q1,1991-11-08,no3_n,57
Q1,1991-11-12,k,1.33
Q1,1991-11-12,mg,3.46
Q1,1991-11-12,ca,5.29
Q1,1991-11-12,nh4_n,NA
Q1,1991-11-12,no3_n,150
Q1,1991-11-18,k,0.94
Q1,1991-11-18,mg,3.3
Q1,1991-11-18,ca,6.25
Q1,1991-11-18,nh4_n,NA
Q1,1991-11-18,no3_n,85
Q1,1991-11-22,k,1.52
Q1,1991-11-22,mg,1.33
Q1,1991-11-22,ca,1.94
Q1,1991-11-22,nh4_n,NA
Q1,1991-11-22,no3_n,104
Q1,1991-11-26,k,1.21
Q1,1991-11-26,mg,3.04
Q1,1991-11-26,ca,4.56
Q1,1991-11-26,nh4_n,NA
Q1,1991-11-26,no3_n,145
Q1,1991-12-03,k,1.1
Q1,1991-12-03,mg,2.53
Q1,1991-12-03,ca,3.62
Q1,1991-12-03,nh4_n,NA
Q1,1991-12-03,no3_n,100
Q1,1991-12-10,k,0.99
Q1,1991-12-10,mg,3.03
Q1,1991-12-10,ca,4.81
Q1,1991-12-10,nh4_n,NA
Q1,1991-12-10,no3_n,338
Q1,1991-12-17,k,1.05
Q1,1991-12-17,mg,3.07
Q1,1991-12-17,ca,4.62
Q1,1991-12-17,nh4_n,NA
Q1,1991-12-17,no3_n,167
Q1,1991-12-23,k,1.05
Q1,1991-12-23,mg,3.08
Q1,1991-12-23,ca,5.86
Q1,1991-12-23,nh4_n,NA
Q1,1991-12-23,no3_n,164
Q1,1991-12-30,k,1.09
Q1,1991-12-30,mg,3.37
Q1,1991-12-30,ca,5.81
Q1,1991-12-30,nh4_n,NA
Q1,1991-12-30,no3_n,NA
Q1,1992-01-07,k,1.31
Q1,1992-01-07,mg,2.82
Q1,1992-01-07,ca,4.82
Q1,1992-01-07,nh4_n,NA
Q1,1992-01-07,no3_n,216
Q1,1992-01-14,k,1.18
Q1,1992-01-14,mg,3.15
Q1,1992-01-14,ca,5.59
Q1,1992-01-14,nh4_n,NA
Q1,1992-01-14,no3_n,200
Q1,1992-01-21,k,1.35
Q1,1992-01-21,mg,3.32
Q1,1992-01-21,ca,5.68
Q1,1992-01-21,nh4_n,NA
Q1,1992-01-21,no3_n,177
Q1,1992-01-28,k,1.29
Q1,1992-01-28,mg,3.16
Q1,1992-01-28,ca,5.47
Q1,1992-01-28,nh4_n,NA
Q1,1992-01-28,no3_n,171
Q1,1992-02-04,k,1.3
Q1,1992-02-04,mg,2.29
Q1,1992-02-04,ca,2.81
Q1,1992-02-04,nh4_n,NA
Q1,1992-02-04,no3_n,324
Q1,1992-02-06,k,1.59
Q1,1992-02-06,mg,2.3
Q1,1992-02-06,ca,4.01
Q1,1992-02-06,nh4_n,NA
Q1,1992-02-06,no3_n,17
Q1,1992-02-11,k,1.04
Q1,1992-02-11,mg,3.33
Q1,1992-02-11,ca,4.77
Q1,1992-02-11,nh4_n,NA
Q1,1992-02-11,no3_n,101
Q1,1992-02-18,k,1.01
Q1,1992-02-18,mg,3.22
Q1,1992-02-18,ca,5.78
Q1,1992-02-18,nh4_n,NA
Q1,1992-02-18,no3_n,291
Q1,1992-02-25,k,0.99
Q1,1992-02-25,mg,3.47
Q1,1992-02-25,ca,5.75
Q1,1992-02-25,nh4_n,NA
Q1,1992-02-25,no3_n,138
Q1,1992-03-03,k,1.13
Q1,1992-03-03,mg,3.84
Q1,1992-03-03,ca,8.48
Q1,1992-03-03,nh4_n,NA
Q1,1992-03-03,no3_n,174
Q1,1992-03-10,k,1.06
Q1,1992-03-10,mg,3.15
Q1,1992-03-10,ca,5.11
Q1,1992-03-10,nh4_n,NA
Q1,1992-03-10,no3_n,10
Q1,1992-03-17,k,1.1
Q1,1992-03-17,mg,3.3
Q1,1992-03-17,ca,6.08
Q1,1992-03-17,nh4_n,NA
Q1,1992-03-17,no3_n,133
Q1,1992-03-24,k,1.01
Q1,1992-03-24,mg,3.22
Q1,1992-03-24,ca,5.5
Q1,1992-03-24,nh4_n,NA
Q1,1992-03-24,no3_n,NA
Q1,1992-04-01,k,1.56
Q1,1992-04-01,mg,2.95
Q1,1992-04-01,ca,4.48
Q1,1992-04-01,nh4_n,NA
Q1,1992-04-01,no3_n,87
Q1,1992-04-07,k,0.75
Q1,1992-04-07,mg,5.53
Q1,1992-04-07,ca,8.77
Q1,1992-04-07,nh4_n,NA
Q1,1992-04-07,no3_n,36
Q1,1992-04-14,k,1.03
Q1,1992-04-14,mg,3.22
Q1,1992-04-14,ca,5.76
Q1,1992-04-14,nh4_n,NA
Q1,1992-04-14,no3_n,11
Q1,1992-04-21,k,1.37
Q1,1992-04-21,mg,3.53
Q1,1992-04-21,ca,6.85
Q1,1992-04-21,nh4_n,NA
Q1,1992-04-21,no3_n,49
Q1,1992-04-28,k,0.44
Q1,1992-04-28,mg,2.37
Q1,1992-04-28,ca,4.24
Q1,1992-04-28,nh4_n,NA
Q1,1992-04-28,no3_n,30
Q1,1992-05-05,k,1.07
Q1,1992-05-05,mg,3.13
Q1,1992-05-05,ca,5.32
Q1,1992-05-05,nh4_n,NA
Q1,1992-05-05,no3_n,27
Q1,1992-05-12,k,0.97
Q1,1992-05-12,mg,3.37
Q1,1992-05-12,ca,5.64
Q1,1992-05-12,nh4_n,NA
Q1,1992-05-12,no3_n,137
Q1,1992-05-19,k,0.92
Q1,1992-05-19,mg,3.28
Q1,1992-05-19,ca,5.3
Q1,1992-05-19,nh4_n,NA
Q1,1992-05-19,no3_n,128
Q1,1992-05-26,k,1.35
Q1,1992-05-26,mg,2.54
Q1,1992-05-26,ca,4.21
Q1,1992-05-26,nh4_n,NA
Q1,1992-05-26,no3_n,NA
Q1,1992-06-02,k,1.34
Q1,1992-06-02,mg,1.49
Q1,1992-06-02,ca,2.24
Q1,1992-06-02,nh4_n,NA
Q1,1992-06-02,no3_n,66
Q1,1992-06-09,k,1
Q1,1992-06-09,mg,3.09
Q1,1992-06-09,ca,5.32
Q1,1992-06-09,nh4_n,NA
Q1,1992-06-09,no3_n,10
Q1,1992-06-16,k,1.21
Q1,1992-06-16,mg,1.58
Q1,1992-06-16,ca,2.54
Q1,1992-06-16,nh4_n,NA
Q1,1992-06-16,no3_n,27
Q1,1992-06-23,k,0.98
Q1,1992-06-23,mg,2.46
Q1,1992-06-23,ca,3.92
Q1,1992-06-23,nh4_n,NA
Q1,1992-06-23,no3_n,32
Q1,1992-06-30,k,1.15
Q1,1992-06-30,mg,3.27
Q1,1992-06-30,ca,5.49
Q1,1992-06-30,nh4_n,NA
Q1,1992-06-30,no3_n,31
Q1,1992-07-07,k,1.14
Q1,1992-07-07,mg,3.32
Q1,1992-07-07,ca,5.58
Q1,1992-07-07,nh4_n,NA
Q1,1992-07-07,no3_n,111
Q1,1992-07-14,k,1.32
Q1,1992-07-14,mg,3.68
Q1,1992-07-14,ca,6.34
Q1,1992-07-14,nh4_n,NA
Q1,1992-07-14,no3_n,41
Q1,1992-07-21,k,1.09
Q1,1992-07-21,mg,3.4
Q1,1992-07-21,ca,5.72
Q1,1992-07-21,nh4_n,NA
Q1,1992-07-21,no3_n,NA
Q1,1992-07-28,k,1.18
Q1,1992-07-28,mg,3.48
Q1,1992-07-28,ca,5.94
Q1,1992-07-28,nh4_n,NA
Q1,1992-07-28,no3_n,148
Q1,1992-08-04,k,1.11
Q1,1992-08-04,mg,3.41
Q1,1992-08-04,ca,6.04
Q1,1992-08-04,nh4_n,NA
Q1,1992-08-04,no3_n,359
Q1,1992-08-11,k,1.13
Q1,1992-08-11,mg,1.9
Q1,1992-08-11,ca,3.06
Q1,1992-08-11,nh4_n,NA
Q1,1992-08-11,no3_n,26
Q1,1992-08-18,k,1.09
Q1,1992-08-18,mg,3.34
Q1,1992-08-18,ca,5.98
Q1,1992-08-18,nh4_n,NA
Q1,1992-08-18,no3_n,27
Q1,1992-08-25,k,1.11
Q1,1992-08-25,mg,3.41
Q1,1992-08-25,ca,6.31
Q1,1992-08-25,nh4_n,NA
Q1,1992-08-25,no3_n,382
Q1,1992-09-01,k,1
Q1,1992-09-01,mg,3.77
Q1,1992-09-01,ca,6.51
Q1,1992-09-01,nh4_n,NA
Q1,1992-09-01,no3_n,10
Q1,1992-09-08,k,1.17
Q1,1992-09-08,mg,2.39
Q1,1992-09-08,ca,4.24
Q1,1992-09-08,nh4_n,NA
Q1,1992-09-08,no3_n,10
Q1,1992-09-15,k,1.36
Q1,1992-09-15,mg,4.61
Q1,1992-09-15,ca,7.98
Q1,1992-09-15,nh4_n,NA
Q1,1992-09-15,no3_n,16
Q1,1992-09-22,k,1.06
Q1,1992-09-22,mg,2.93
Q1,1992-09-22,ca,5.03
Q1,1992-09-22,nh4_n,NA
Q1,1992-09-22,no3_n,10
Q1,1992-09-29,k,1
Q1,1992-09-29,mg,3.37
Q1,1992-09-29,ca,6.1
Q1,1992-09-29,nh4_n,NA
Q1,1992-09-29,no3_n,84
Q1,1992-10-06,k,0.95
Q1,1992-10-06,mg,3.54
Q1,1992-10-06,ca,6.4
Q1,1992-10-06,nh4_n,NA
Q1,1992-10-06,no3_n,288
Q1,1992-10-13,k,1.27
Q1,1992-10-13,mg,4.27
Q1,1992-10-13,ca,7.35
Q1,1992-10-13,nh4_n,NA
Q1,1992-10-13,no3_n,NA
Q1,1992-10-20,k,0.87
Q1,1992-10-20,mg,3.45
Q1,1992-10-20,ca,6.16
Q1,1992-10-20,nh4_n,NA
Q1,1992-10-20,no3_n,56
Q1,1992-10-27,k,0.91
Q1,1992-10-27,mg,3.33
Q1,1992-10-27,ca,6.03
Q1,1992-10-27,nh4_n,NA
Q1,1992-10-27,no3_n,NA
Q1,1992-11-03,k,1.04
Q1,1992-11-03,mg,3.08
Q1,1992-11-03,ca,5.47
Q1,1992-11-03,nh4_n,NA
Q1,1992-11-03,no3_n,10
Q1,1992-11-10,k,1.11
Q1,1992-11-10,mg,2.22
Q1,1992-11-10,ca,3.58
Q1,1992-11-10,nh4_n,NA
Q1,1992-11-10,no3_n,135
Q1,1992-11-17,k,0.41
Q1,1992-11-17,mg,1.06
Q1,1992-11-17,ca,3.02
Q1,1992-11-17,nh4_n,NA
Q1,1992-11-17,no3_n,20
Q1,1992-11-24,k,1.14
Q1,1992-11-24,mg,3.15
Q1,1992-11-24,ca,5.3
Q1,1992-11-24,nh4_n,NA
Q1,1992-11-24,no3_n,16
Q1,1992-12-01,k,1.19
Q1,1992-12-01,mg,2.92
Q1,1992-12-01,ca,5.15
Q1,1992-12-01,nh4_n,NA
Q1,1992-12-01,no3_n,9
Q1,1992-12-08,k,1.06
Q1,1992-12-08,mg,3.16
Q1,1992-12-08,ca,5.11
Q1,1992-12-08,nh4_n,NA
Q1,1992-12-08,no3_n,15
Q1,1992-12-15,k,0.41
Q1,1992-12-15,mg,1.31
Q1,1992-12-15,ca,3.97
Q1,1992-12-15,nh4_n,NA
Q1,1992-12-15,no3_n,26
Q1,1992-12-22,k,NA
Q1,1992-12-22,mg,NA
