sample_id,sample_date,chemical,chem_conc,rolling_avg
Q1,1988-03-29,no3_n,261,208.125
Q1,1988-03-29,k,1.11,0.89375
Q1,1988-03-29,mg,1.16,1.985625
Q1,1988-03-29,ca,1.38,3.0925
Q1,1988-03-29,nh4_n,31,19.1875
Q1,1988-03-29,no3_n,265,208.125
Q1,1988-03-29,k,1.06,0.89375
Q1,1988-03-29,mg,1.19,1.985625
Q1,1988-03-29,ca,1.34,3.0925
Q1,1988-03-29,nh4_n,16,19.1875
Q1,1988-03-29,no3_n,252,208.125
Q1,1988-04-05,k,0.82,0.89
Q1,1988-04-05,mg,2.31,1.976875
Q1,1988-04-05,ca,2.75,3.084375
Q1,1988-04-05,nh4_n,26,22.125
Q1,1988-04-05,no3_n,135,207.8125
Q1,1988-04-12,k,0.71,0.9488235294117647
Q1,1988-04-12,mg,2.77,1.9523529411764706
Q1,1988-04-12,ca,4.22,3.0376470588235294
Q1,1988-04-12,nh4_n,34,24
Q1,1988-04-12,no3_n,141,207.41176470588235
Q1,1988-04-19,k,0.85,0.964375
Q1,1988-04-19,mg,2.57,1.858235294117647
Q1,1988-04-19,ca,3.82,2.867058823529412
Q1,1988-04-19,nh4_n,16,35.94117647058823
Q1,1988-04-19,no3_n,150,207.41176470588235
Q1,1988-04-26,k,0.74,0.965625
Q1,1988-04-26,mg,2.87,1.766470588235294
Q1,1988-04-26,ca,4.3,2.7076470588235293
Q1,1988-04-26,nh4_n,28,38.88235294117647
Q1,1988-04-26,no3_n,142,207.7058823529412
Q1,1988-05-03,k,0.75,0.8788888888888888
Q1,1988-05-03,mg,2.82,2.191
Q1,1988-05-03,ca,4.18,3.1069999999999998
Q1,1988-05-03,nh4_n,65,60.9
Q1,1988-05-03,no3_n,139,150.5
Q1,1988-05-10,k,1.19,0.8766666666666667
Q1,1988-05-10,mg,2.24,2.251
Q1,1988-05-10,ca,3.6,3.19
Q1,1988-05-10,nh4_n,69,64.2
Q1,1988-05-10,no3_n,142,151.7
Q1,1988-05-10,k,NA,0.8766666666666667
Q1,1988-05-10,mg,NA,2.251
Q1,1988-05-10,ca,NA,3.19
Q1,1988-05-10,nh4_n,NA,64.2
Q1,1988-05-10,no3_n,NA,151.7
Q1,1988-05-10,k,NA,0.8766666666666667
Q1,1988-05-10,mg,NA,2.251
Q1,1988-05-10,ca,NA,3.19
Q1,1988-05-10,nh4_n,NA,64.2
Q1,1988-05-10,no3_n,NA,151.7
Q1,1988-05-10,k,NA,0.8766666666666667
Q1,1988-05-10,mg,NA,2.251
Q1,1988-05-10,ca,NA,3.19
Q1,1988-05-10,nh4_n,NA,64.2
Q1,1988-05-10,no3_n,NA,151.7
Q1,1988-05-10,k,1.2,0.8766666666666667
Q1,1988-05-10,mg,1.44,2.251
Q1,1988-05-10,ca,2.58,3.19
Q1,1988-05-10,nh4_n,10,64.2
Q1,1988-05-10,no3_n,203,151.7
Q1,1988-05-17,k,NA,0.8855555555555555
Q1,1988-05-17,mg,1.12,2.259
Q1,1988-05-17,ca,1.12,3.121
Q1,1988-05-17,nh4_n,237,67.6
Q1,1988-05-17,no3_n,148,152.88888888888889
Q1,1988-05-24,k,0.75,0.8811111111111111
Q1,1988-05-24,mg,1.2,2.197
Q1,1988-05-24,ca,1.34,3.005
Q1,1988-05-24,nh4_n,63,81.8
Q1,1988-05-24,no3_n,149,153.25
Q1,1988-05-31,k,0.9,0.8777777777777778
Q1,1988-05-31,mg,2.57,2.181
Q1,1988-05-31,ca,3.16,3.062
Q1,1988-05-31,nh4_n,61,87.77777777777777
Q1,1988-05-31,no3_n,156,154.85714285714286
Q1,1988-06-07,k,0.8,0.8811111111111111
Q1,1988-06-07,mg,2.91,2.183
Q1,1988-06-07,ca,3.58,2.985
Q1,1988-06-07,nh4_n,59,90.625
Q1,1988-06-07,no3_n,147,157.5
Q1,1988-06-14,k,0.79,0.7914285714285715
Q1,1988-06-14,mg,2.85,2.0766666666666667
Q1,1988-06-14,ca,3.53,2.95875
Q1,1988-06-14,nh4_n,68,107.66666666666667
Q1,1988-06-14,no3_n,NA,150
Q1,1988-06-21,k,0.81,0.7877777777777778
Q1,1988-06-21,mg,1.95,2.188
Q1,1988-06-21,ca,2.66,3.1433333333333335
Q1,1988-06-21,nh4_n,158,81.8
Q1,1988-06-21,no3_n,NA,150.66666666666666
Q1,1988-06-28,k,0.71,0.7833333333333333
Q1,1988-06-28,mg,2.71,2.233
Q1,1988-06-28,ca,4.87,3.2644444444444445
Q1,1988-06-28,nh4_n,NA,86.5
Q1,1988-06-28,no3_n,NA,151.5
Q1,1988-07-05,k,0.78,0.7644444444444445
Q1,1988-07-05,mg,2.84,2.266
Q1,1988-07-05,ca,3.41,3.3000000000000003
Q1,1988-07-05,nh4_n,NA,95
Q1,1988-07-05,no3_n,NA,147
Q1,1988-07-12,k,NA,0.7655555555555555
Q1,1988-07-12,mg,0.54,2.267
Q1,1988-07-12,ca,NA,3.2977777777777777
Q1,1988-07-12,nh4_n,NA,113
Q1,1988-07-12,no3_n,NA,NA
Q1,1988-07-19,k,0.73,0.7711111111111111
Q1,1988-07-19,mg,1.84,2.267
Q1,1988-07-19,ca,2.54,3.2933333333333334
Q1,1988-07-19,nh4_n,NA,87
Q1,1988-07-19,no3_n,NA,NA
Q1,1988-07-22,k,0.82,0.7711111111111111
Q1,1988-07-22,mg,2.47,2.267
Q1,1988-07-22,ca,3.2,3.2933333333333334
Q1,1988-07-22,nh4_n,NA,87
Q1,1988-07-22,no3_n,NA,NA
Q1,1988-07-26,k,NA,0.7623076923076924
Q1,1988-07-26,mg,NA,1.9653846153846153
Q1,1988-07-26,ca,NA,2.770769230769231
Q1,1988-07-26,nh4_n,NA,16
Q1,1988-07-26,no3_n,NA,34.2
Q1,1988-07-26,k,0.71,0.7623076923076924
Q1,1988-07-26,mg,1.65,1.9653846153846153
Q1,1988-07-26,ca,2.43,2.770769230769231
Q1,1988-07-26,nh4_n,NA,16
Q1,1988-07-26,no3_n,NA,34.2
Q1,1988-08-02,k,0.73,0.7676923076923077
Q1,1988-08-02,mg,2.9,1.9584615384615385
Q1,1988-08-02,ca,3.48,2.6492307692307695
Q1,1988-08-02,nh4_n,NA,16
Q1,1988-08-02,no3_n,NA,53.5
Q1,1988-08-09,k,0.81,0.7607692307692308
Q1,1988-08-09,mg,2.92,1.9523076923076923
Q1,1988-08-09,ca,3.56,2.686923076923077
Q1,1988-08-09,nh4_n,NA,15.5
Q1,1988-08-09,no3_n,NA,63
Q1,1988-08-16,k,0.84,0.7628571428571429
Q1,1988-08-16,mg,2.85,2.0284615384615385
Q1,1988-08-16,ca,3.49,2.545
Q1,1988-08-16,nh4_n,16,15.5
Q1,1988-08-16,no3_n,NA,79.125
Q1,1988-08-23,k,0.87,0.76
Q1,1988-08-23,mg,2.71,2.058333333333333
Q1,1988-08-23,ca,3.95,2.5876923076923077
Q1,1988-08-23,nh4_n,NA,26
Q1,1988-08-23,no3_n,135,87
Q1,1988-08-24,k,0.76,0.76
Q1,1988-08-24,mg,0.86,2.058333333333333
Q1,1988-08-24,ca,1.23,2.5876923076923077
Q1,1988-08-24,nh4_n,NA,26
Q1,1988-08-24,no3_n,8,87
Q1,1988-08-24,k,NA,0.76
Q1,1988-08-24,mg,NA,2.058333333333333
Q1,1988-08-24,ca,NA,2.5876923076923077
Q1,1988-08-24,nh4_n,NA,26
Q1,1988-08-24,no3_n,7,87
Q1,1988-08-24,k,0.77,0.76
Q1,1988-08-24,mg,NA,2.058333333333333
Q1,1988-08-24,ca,1.79,2.5876923076923077
Q1,1988-08-24,nh4_n,NA,26
Q1,1988-08-24,no3_n,NA,87
Q1,1988-08-24,k,0.48,0.76
Q1,1988-08-24,mg,0.47,2.058333333333333
Q1,1988-08-24,ca,0.75,2.5876923076923077
Q1,1988-08-24,nh4_n,NA,26
Q1,1988-08-24,no3_n,11,87
Q1,1988-08-24,k,0.9,0.76
Q1,1988-08-24,mg,0.79,2.058333333333333
Q1,1988-08-24,ca,1.32,2.5876923076923077
Q1,1988-08-24,nh4_n,NA,26
Q1,1988-08-24,no3_n,10,87
Q1,1988-08-30,k,0.78,0.76
Q1,1988-08-30,mg,2.62,2.1425
Q1,1988-08-30,ca,3.29,2.7246153846153844
Q1,1988-08-30,nh4_n,NA,26
Q1,1988-08-30,no3_n,150,93.2
Q1,1988-09-06,k,0.69,0.76
Q1,1988-09-06,mg,2.76,2.075
Q1,1988-09-06,ca,3.9,2.6915384615384617
Q1,1988-09-06,nh4_n,15,34.25
Q1,1988-09-06,no3_n,120,88.63636363636364
Q1,1988-09-13,k,0.79,0.7553846153846154
Q1,1988-09-13,mg,1.53,2.046666666666667
Q1,1988-09-13,ca,0.7,2.8038461538461537
Q1,1988-09-13,nh4_n,NA,37.2
Q1,1988-09-13,no3_n,192,93.83333333333333
Q1,1988-09-20,k,0.75,0.7483333333333333
Q1,1988-09-20,mg,2.64,1.9736363636363636
Q1,1988-09-20,ca,3.75,2.7466666666666666
Q1,1988-09-20,nh4_n,47,43.2
Q1,1988-09-20,no3_n,150,98.46153846153847
Q1,1988-09-27,k,0.71,0.76
Q1,1988-09-27,mg,2.66,2.43
Q1,1988-09-27,ca,4.21,3.48625
Q1,1988-09-27,nh4_n,NA,43.2
Q1,1988-09-27,no3_n,149,139.44444444444446
Q1,1988-10-04,k,0.73,0.77
Q1,1988-10-04,mg,2.09,2.4425
Q1,1988-10-04,ca,3.05,3.61
Q1,1988-10-04,nh4_n,59,43.2
Q1,1988-10-04,no3_n,43,138.66666666666666
Q1,1988-10-11,k,0.75,0.7925
Q1,1988-10-11,mg,2.58,2.43875
Q1,1988-10-11,ca,5.02,3.665
Q1,1988-10-11,nh4_n,49,50.25
Q1,1988-10-11,no3_n,151,140.55555555555554
Q1,1988-10-18,k,NA,0.8175
Q1,1988-10-18,mg,NA,2.5825
Q1,1988-10-18,ca,NA,4.1049999999999995
Q1,1988-10-18,nh4_n,46,50.25
Q1,1988-10-18,no3_n,154,133.66666666666666
Q1,1988-10-25,k,0.88,0.83125
Q1,1988-10-25,mg,2.56,2.5412500000000002
Q1,1988-10-25,ca,3.97,4.11375
Q1,1988-10-25,nh4_n,NA,51.333333333333336
Q1,1988-10-25,no3_n,146,132.44444444444446
Q1,1988-11-01,k,0.86,0.845
Q1,1988-11-01,mg,2.72,2.55875
Q1,1988-11-01,ca,4.28,4.1125
Q1,1988-11-01,nh4_n,NA,51.333333333333336
Q1,1988-11-01,no3_n,143,131.33333333333334
Q1,1988-11-07,k,0.87,0.85625
Q1,1988-11-07,mg,2.73,2.61
Q1,1988-11-07,ca,4.34,4.26125
Q1,1988-11-07,nh4_n,NA,47.5
Q1,1988-11-07,no3_n,137,142
Q1,1988-11-15,k,0.99,0.89375
Q1,1988-11-15,mg,2.68,2.61875
Q1,1988-11-15,ca,4.22,4.1625
Q1,1988-11-15,nh4_n,NA,46
Q1,1988-11-15,no3_n,130,141.77777777777777
Q1,1988-11-22,k,0.86,0.8977777777777778
Q1,1988-11-22,mg,2.31,2.6333333333333333
Q1,1988-11-22,ca,3.82,4.173333333333334
Q1,1988-11-22,nh4_n,NA,NA
Q1,1988-11-22,no3_n,139,142
Q1,1988-11-29,k,0.82,0.9033333333333333
Q1,1988-11-29,mg,2.8,2.6466666666666665
Q1,1988-11-29,ca,4.2,4.193333333333333
Q1,1988-11-29,nh4_n,NA,NA
Q1,1988-11-29,no3_n,139,143.11111111111111
Q1,1988-12-06,k,0.82,0.8333333333333334
Q1,1988-12-06,mg,2.5,2.398888888888889
Q1,1988-12-06,ca,4.24,4.1825
Q1,1988-12-06,nh4_n,NA,NA
Q1,1988-12-06,no3_n,139,143.125
Q1,1988-12-13,k,1.05,0.8444444444444444
Q1,1988-12-13,mg,2.65,2.3722222222222222
Q1,1988-12-13,ca,4.23,4.15125
Q1,1988-12-13,nh4_n,NA,NA
Q1,1988-12-13,no3_n,149,153.625
Q1,1988-12-20,k,0.93,0.8444444444444444
Q1,1988-12-20,mg,2.75,2.3777777777777778
Q1,1988-12-20,ca,4.26,4.1775
Q1,1988-12-20,nh4_n,NA,NA
